org,sector,ein,tax_year,total_revenue,total_expenses,contributions,program_revenue,investment_income,salaries_wages,officer_compensation,total_assets_end,total_liabilities_end,net_assets_end,operating_margin,reserve_months,compensation_ratio,contribution_share,program_revenue_share,investment_income_share,leverage,largest_revenue_category_share,revenue_growth_yoy
Natural Resources Defense Council Inc,Environment,132654926,2011,97057964,98131710,90868193,4390776,696553,34378747,1261882,248951243,51538183,197413060,-0.011062935546432852,24.14058330380669,0.363191765434435,0.9362260370514263,0.045238698804767837,0.007176670221518349,0.20702119169575706,0.9362260370514263,
Natural Resources Defense Council Inc,Environment,132654926,2012,98701707,104264845,92736241,1671617,1742327,37296998,1340782,241823296,58983300,182839996,-0.056363138684116174,21.043333944437357,0.37057341810655353,0.9395606602832107,0.016936049545728728,0.017652450529553658,0.24391074381849465,0.9395606602832107,0.016935683917705058
Natural Resources Defense Council Inc,Environment,132654926,2013,115962571,102445255,110866444,1286887,2868954,38168311,2715963,268165564,58992258,209173306,0.11656619789845811,24.501668447211145,0.3990841157064815,0.956053690806838,0.011097434188484835,0.02474034488248799,0.21998446452281994,0.956053690806838,0.17487908289164644
Natural Resources Defense Council Inc,Environment,132654926,2014,121617764,115764382,116474388,649524,3528153,42037182,2921180,293669408,61608516,232060892,0.048129334132470974,24.05515976408011,0.3883609208918854,0.957708678150011,0.005340700064178125,0.029010178151277308,0.2097886750260347,0.957708678150011,0.048767399267130696
Natural Resources Defense Council Inc,Environment,132654926,2015,155192637,126749686,134361787,701716,1694613,45465652,4124855,306293488,62607924,243685564,0.18327513179636223,23.070879781114407,0.391247572794776,0.8657742377301058,0.004521580492249771,0.010919416234933877,0.20440501170563574,0.8657742377301058,0.276068823301175
Natural Resources Defense Council Inc,Environment,132654926,2016,129809261,133435489,127497252,1089789,2314441,49151699,2788167,301556189,65029561,236526628,-0.027935048486255536,21.271099295030872,0.389250763715491,0.9821891829428102,0.008395310100409554,0.01782955223818738,0.21564658054489474,0.9821891829428102,-0.16356044004845405
Natural Resources Defense Council Inc,Environment,132654926,2017,177129164,128772908,161593821,9255127,2034434,49499616,2693247,366746425,60522510,306223915,0.2729999674136101,28.536180762493927,0.40530934503707877,0.9122937033677865,0.052250723658358145,0.011485595901079282,0.1650254941135418,0.9122937033677865,0.36453410669982933
Natural Resources Defense Council Inc,Environment,132654926,2018,182319651,149039578,174988334,433577,2598017,54542945,2962415,411463366,62051561,349411805,0.18253694989795696,28.133075229185096,0.38583952512264896,0.9597886626055465,0.0023781144688566785,0.014249791428132999,0.15080701254944773,0.9597886626055465,0.02930340144325405
Natural Resources Defense Council Inc,Environment,132654926,2019,181821968,173044173,173735553,785336,3731068,64530330,2853451,442841915,75364208,367477707,0.048276867182517794,25.483276365509287,0.3894021961664089,0.955525643633997,0.004319258055770246,0.02052044668221829,0.17018309569906,0.955525643633997,-0.0027297276912843227
Natural Resources Defense Council Inc,Environment,132654926,2020,197585835,185007361,187198934,4671787,3054202,76101819,3392003,467259503,80739367,386520136,0.06366080847850251,25.070578851184194,0.42967923854662193,0.947430943113913,0.023644341711034092,0.01545759593545762,0.17279341882106142,0.947430943113913,0.08669946307038101
